,source,target,weight
283,devoted,g,3
284,devoted,one,15
285,devoted,acts,15
286,devoted,base,4
287,devoted,native,15
288,devoted,mexican,4
289,devoted,two,4
290,devoted,change,4
291,devoted,wanted,15
292,devoted,globally,15
293,devoted,streamed,15
294,devoted,suddenly,15
295,devoted,argentina,15
296,devoted,pushing,15
297,devoted,across,15
298,devoted,accounting,15
299,devoted,king,15
300,devoted,contra,15
301,fan,plan,15
302,fan,mexico,15
303,fan,hottest,15
304,fan,set,15
305,fan,make,15
306,fan,player,15
307,fan,net,15
308,fan,values,15
309,fan,mustafa,15
310,fan,months,15
311,fan,leads,15
312,fan,firmly,15
313,fan,track,15
314,base,plan,15
315,base,mexico,15
316,base,hottest,15
317,base,fan,15
318,base,set,15
319,base,make,15
320,base,player,15
321,base,net,15
322,base,values,15
323,base,mustafa,15
324,base,months,15
325,base,leads,15
326,base,firmly,15
327,base,track,15
328,native,plan,4
329,native,mexico,4
330,native,hottest,4
331,native,fan,4
332,native,set,4
333,native,make,4
334,native,player,4
335,native,net,4
336,native,values,4
337,native,mustafa,4
338,native,months,4
339,native,leads,4
340,native,firmly,4
341,native,track,4
342,monterrey,plan,4
343,monterrey,mexico,4
344,monterrey,hottest,4
345,monterrey,fan,4
346,monterrey,set,4
347,monterrey,make,4
348,monterrey,player,4
349,monterrey,net,4
350,monterrey,values,4
351,monterrey,mustafa,4
352,monterrey,months,4
353,monterrey,leads,4
354,monterrey,firmly,4
355,monterrey,track,4
356,hear,work,6
357,hear,bringing,6
358,hear,caballeros,6
359,hear,g,6
360,hear,group,4
361,hear,go,4
362,hear,exposure,4
363,hear,definitely,4
364,group,work,6
365,group,bringing,6
366,group,caballeros,6
367,group,g,6
368,group,go,4
369,group,exposure,4
370,group,definitely,4
371,tracks,rap,4
372,tracks,dial,4
373,tracks,trouble,4
374,tracks,abroad,4
375,tracks,everywhere,4
376,tracks,de,4
377,tracks,chance,4
378,tracks,really,4
379,tracks,accessible,4
380,tracks,latin,4
381,tracks,far,4
382,tracks,anywhere,4
383,tracks,becoming,4
384,tracks,way,4
385,tracks,spain,4
386,tracks,spaniard,4
387,tracks,tote,4
388,tracks,technology,4
389,tracks,service,4
390,really,rap,4
391,really,dial,4
392,really,trouble,4
393,really,abroad,4
394,really,everywhere,4
395,really,de,4
396,really,chance,4
397,really,tracks,4
398,really,accessible,4
399,really,latin,4
400,really,far,4
401,really,anywhere,4
402,really,becoming,4
403,really,way,4
404,really,spain,4
405,really,spaniard,4
406,really,tote,4
407,really,technology,4
408,really,service,4
409,go,group,4
410,go,exposure,4
411,go,definitely,4
412,listen,group,4
413,listen,go,4
414,listen,exposure,4
415,listen,definitely,4
416,friends,plan,4
417,friends,mexico,4
418,friends,hottest,4
419,friends,fan,4
420,friends,set,4
421,friends,make,4
422,friends,player,4
423,friends,net,4
424,friends,values,4
425,friends,mustafa,4
426,friends,months,4
427,friends,leads,4
428,friends,firmly,4
429,friends,track,4
430,set,plan,4
431,set,mexico,4
432,set,hottest,4
433,set,fan,4
434,set,make,4
435,set,player,4
436,set,net,4
437,set,values,4
438,set,mustafa,4
439,set,months,4
440,set,leads,4
441,set,firmly,4
442,set,track,4
443,change,spin,4
444,change,likely,4
445,change,work,3
446,change,bringing,3
447,change,caballeros,3
448,change,g,3
449,change,one,15
450,change,acts,15
451,change,devoted,15
452,change,base,4
453,change,native,15
454,change,mexican,4
455,change,two,4
456,change,wanted,15
457,change,globally,15
458,change,streamed,15
459,change,suddenly,15
460,change,argentina,15
461,change,pushing,15
462,change,across,15
463,change,accounting,15
464,change,king,15
465,change,contra,15
466,wanted,spin,4
467,wanted,likely,4
468,wanted,work,3
469,wanted,bringing,3
470,wanted,caballeros,3
471,wanted,g,3
472,wanted,one,15
473,wanted,acts,15
474,wanted,devoted,15
475,wanted,base,4
476,wanted,native,15
477,wanted,mexican,4
478,wanted,two,4
479,wanted,change,4
480,wanted,globally,15
481,wanted,streamed,15
482,wanted,suddenly,15
483,wanted,argentina,15
484,wanted,pushing,15
485,wanted,across,15
486,wanted,accounting,15
487,wanted,king,15
488,wanted,contra,15
489,make,plan,15
490,make,mexico,15
491,make,hottest,15
492,make,fan,15
493,make,set,15
494,make,player,15
495,make,net,15
496,make,values,15
497,make,mustafa,15
498,make,months,15
499,make,leads,15
500,make,firmly,15
501,make,track,15
502,like,plan,15
503,like,mexico,15
504,like,hottest,15
505,like,fan,15
506,like,set,15
507,like,make,15
508,like,player,15
509,like,net,15
510,like,values,15
511,like,mustafa,15
512,like,months,15
513,like,leads,15
514,like,firmly,15
515,like,track,15
516,launched,website,3
517,launched,com,3
518,website,com,3
519,called,impossible,3
520,called,latinohiphopradio,3
521,called,based,3
522,latinohiphopradio,impossible,3
523,latinohiphopradio,called,3
524,latinohiphopradio,based,3
525,com,website,3
526,com,name,3
527,com,english,3
528,name,website,3
529,name,com,3
530,name,english,3
531,based,latinohiphopradio,3
532,based,site,3
533,based,easy,3
534,site,latinohiphopradio,3
535,site,based,3
536,site,easy,3
537,english,name,3
538,meant,name,3
539,meant,english,3
540,djs,spin,4
541,djs,likely,4
542,djs,work,3
543,djs,bringing,3
544,djs,caballeros,3
545,djs,g,3
546,djs,one,15
547,djs,acts,15
548,djs,devoted,15
549,djs,base,4
550,djs,native,15
551,djs,mexican,4
552,djs,two,4
553,djs,change,4
554,djs,wanted,15
555,djs,globally,15
556,djs,streamed,15
557,djs,suddenly,15
558,djs,argentina,15
559,djs,pushing,15
560,djs,across,15
561,djs,accounting,15
562,djs,king,15
563,djs,contra,15
564,streamed,spin,4
